Highway,Direction,County,Travel Time,Speed,Total Volume,Truck Volume,Truck %,Miles,Start Time,End Time,Year
I-5,SB,Clark County,20.34,64.67,324.44,98.94,30.50%,21.924,0:00,1:00,2020
I-5,SB,Clark County,20.47,64.26,265.05,108.52,40.90%,21.924,1:00,2:00,2020
I-5,SB,Clark County,20.49,64.2,301.27,107.45,35.70%,21.924,2:00,3:00,2020
I-5,SB,Clark County,20.51,64.14,339.85,147.06,43.30%,21.924,3:00,4:00,2020
I-5,SB,Clark County,20.74,63.43,869.63,216.99,25.00%,21.924,4:00,5:00,2020
I-5,SB,Clark County,23.29,56.48,"2,238.62",288.79,12.90%,21.924,5:00,6:00,2020
I-5,SB,Clark County,27.12,48.5,"3,186.92",401.99,12.60%,21.924,6:00,7:00,2020
I-5,SB,Clark County,29.31,44.88,"3,547.53",503.8,14.20%,21.924,7:00,8:00,2020
I-5,SB,Clark County,27.84,47.25,"3,698.65",640.89,17.30%,21.924,8:00,9:00,2020
I-5,SB,Clark County,24.6,53.47,"3,288.11",566.08,17.20%,21.924,9:00,10:00,2020
I-5,SB,Clark County,22.35,58.86,"2,641.12",421.04,15.90%,21.924,10:00,11:00,2020
I-5,SB,Clark County,22.05,59.66,"2,479.94",344.95,13.90%,21.924,11:00,12:00,2020
I-5,SB,Clark County,22.33,58.91,"2,363.50",418.24,17.70%,21.924,12:00,13:00,2020
I-5,SB,Clark County,22.24,59.15,"2,501.92",389.91,15.60%,21.924,13:00,14:00,2020
I-5,SB,Clark County,22.24,59.15,"2,679.27",361.99,13.50%,21.924,14:00,15:00,2020
I-5,SB,Clark County,22.32,58.94,"2,748.41",323.34,11.80%,21.924,15:00,16:00,2020
I-5,SB,Clark County,22.19,59.28,"2,686.61",256.12,9.50%,21.924,16:00,17:00,2020
I-5,SB,Clark County,22.01,59.77,"2,666.84",168.58,6.30%,21.924,17:00,18:00,2020
I-5,SB,Clark County,22.02,59.74,"2,772.85",138.45,5.00%,21.924,18:00,19:00,2020
I-5,SB,Clark County,21.35,61.61,"2,055.34",104.54,5.10%,21.924,19:00,20:00,2020
I-5,SB,Clark County,21.11,62.31,"1,740.45",95.62,5.50%,21.924,20:00,21:00,2020
I-5,SB,Clark County,20.85,63.09,"1,149.77",97.83,8.50%,21.924,21:00,22:00,2020
I-5,SB,Clark County,20.69,63.58,890.74,80.35,9.00%,21.924,22:00,23:00,2020
I-5,SB,Clark County,20.57,63.95,605.55,83.42,13.80%,21.924,23:00,0:00,2020
I-5,NB,Clark County,20.3,64.82,425.76,80.74,19.00%,21.93,0:00,1:00,2020
I-5,NB,Clark County,20.52,64.12,439.99,118.14,26.90%,21.93,1:00,2:00,2020
I-5,NB,Clark County,20.54,64.06,461.65,119.39,25.90%,21.93,2:00,3:00,2020
I-5,NB,Clark County,20.49,64.22,286.25,173.99,60.80%,21.93,3:00,4:00,2020
I-5,NB,Clark County,20.59,63.9,543.93,255.76,47.00%,21.93,4:00,5:00,2020
I-5,NB,Clark County,20.84,63.14,"1,081.25",341.95,31.60%,21.93,5:00,6:00,2020
I-5,NB,Clark County,21.22,62.01,"1,687.87",404.49,24.00%,21.93,6:00,7:00,2020
I-5,NB,Clark County,21.82,60.3,"2,268.44",583.27,25.70%,21.93,7:00,8:00,2020
I-5,NB,Clark County,22.51,58.45,"2,759.88",658.71,23.90%,21.93,8:00,9:00,2020
I-5,NB,Clark County,22.34,58.9,"2,692.82",606.79,22.50%,21.93,9:00,10:00,2020
I-5,NB,Clark County,21.87,60.16,"2,387.17",412.43,17.30%,21.93,10:00,11:00,2020
I-5,NB,Clark County,22.17,59.35,"2,526.63",437.66,17.30%,21.93,11:00,12:00,2020
I-5,NB,Clark County,22.5,58.48,"2,467.29",422.55,17.10%,21.93,12:00,13:00,2020
I-5,NB,Clark County,22.52,58.43,"2,642.61",469.42,17.80%,21.93,13:00,14:00,2020
I-5,NB,Clark County,23.1,56.96,"2,991.17",415.83,13.90%,21.93,14:00,15:00,2020
I-5,NB,Clark County,23.98,54.87,"3,270.06",324.16,9.90%,21.93,15:00,16:00,2020
I-5,NB,Clark County,24.68,53.31,"3,342.72",263.86,7.90%,21.93,16:00,17:00,2020
I-5,NB,Clark County,25.09,52.44,"3,504.91",189.58,5.40%,21.93,17:00,18:00,2020
I-5,NB,Clark County,22.92,57.41,"3,234.53",151.53,4.70%,21.93,18:00,19:00,2020
I-5,NB,Clark County,21.73,60.55,"2,602.84",89.42,3.40%,21.93,19:00,20:00,2020
I-5,NB,Clark County,21.64,60.8,"2,513.79",112.65,4.50%,21.93,20:00,21:00,2020
I-5,NB,Clark County,21.19,62.1,"1,842.84",92.8,5.00%,21.93,21:00,22:00,2020
I-5,NB,Clark County,20.85,63.11,"1,290.19",89.12,6.90%,21.93,22:00,23:00,2020
I-5,NB,Clark County,20.73,63.47,964.68,87.81,9.10%,21.93,23:00,0:00,2020
I-205,SB,Clark County,12.74,59.81,278.38,37.31,13.40%,12.699,0:00,1:00,2020
I-205,SB,Clark County,12.75,59.76,198.44,43.97,22.20%,12.699,1:00,2:00,2020
I-205,SB,Clark County,12.76,59.71,212.1,45.49,21.40%,12.699,2:00,3:00,2020
I-205,SB,Clark County,12.8,59.53,326.13,61.61,18.90%,12.699,3:00,4:00,2020
I-205,SB,Clark County,12.91,59.02,795.64,88.54,11.10%,12.699,4:00,5:00,2020
I-205,SB,Clark County,13.45,56.65,"2,058.36",129.62,6.30%,12.699,5:00,6:00,2020
I-205,SB,Clark County,15.57,48.94,"2,856.45",150.94,5.30%,12.699,6:00,7:00,2020
I-205,SB,Clark County,17.7,43.05,"2,776.80",186.56,6.70%,12.699,7:00,8:00,2020
I-205,SB,Clark County,15.7,48.53,"2,871.81",254.75,8.90%,12.699,8:00,9:00,2020
I-205,SB,Clark County,14.14,53.89,"2,550.24",259.43,10.20%,12.699,9:00,10:00,2020
I-205,SB,Clark County,13.62,55.94,"2,155.67",198.23,9.20%,12.699,10:00,11:00,2020
I-205,SB,Clark County,13.55,56.23,"2,134.49",149.89,7.00%,12.699,11:00,12:00,2020
I-205,SB,Clark County,13.67,55.74,"2,243.03",176.8,7.90%,12.699,12:00,13:00,2020
I-205,SB,Clark County,13.61,55.98,"2,174.41",157.66,7.30%,12.699,13:00,14:00,2020
I-205,SB,Clark County,13.6,56.03,"2,147.87",148.72,6.90%,12.699,14:00,15:00,2020
I-205,SB,Clark County,13.68,55.7,"2,275.01",115.32,5.10%,12.699,15:00,16:00,2020
I-205,SB,Clark County,13.68,55.7,"2,294.16",86.27,3.80%,12.699,16:00,17:00,2020
I-205,SB,Clark County,13.63,55.9,"2,244.92",63.4,2.80%,12.699,17:00,18:00,2020
I-205,SB,Clark County,13.47,56.57,"1,987.00",41.27,2.10%,12.699,18:00,19:00,2020
I-205,SB,Clark County,13.19,57.77,"1,542.40",35.51,2.30%,12.699,19:00,20:00,2020
I-205,SB,Clark County,13.09,58.21,"1,344.78",33.98,2.50%,12.699,20:00,21:00,2020
I-205,SB,Clark County,12.95,58.84,982.02,21.87,2.20%,12.699,21:00,22:00,2020
I-205,SB,Clark County,12.9,59.07,808.41,29.55,3.70%,12.699,22:00,23:00,2020
I-205,SB,Clark County,12.84,59.34,552.92,29.62,5.40%,12.699,23:00,0:00,2020
I-205,NB,Clark County,12.4,60.12,362.36,39.26,10.80%,12.425,0:00,1:00,2020
I-205,NB,Clark County,12.49,59.69,324.3,47.27,14.60%,12.425,1:00,2:00,2020
I-205,NB,Clark County,12.5,59.64,302.59,45.87,15.20%,12.425,2:00,3:00,2020
I-205,NB,Clark County,12.47,59.78,255.98,68.34,26.70%,12.425,3:00,4:00,2020
I-205,NB,Clark County,12.54,59.45,541.57,85.44,15.80%,12.425,4:00,5:00,2020
I-205,NB,Clark County,12.7,58.7,"1,108.14",119.93,10.80%,12.425,5:00,6:00,2020
I-205,NB,Clark County,12.95,57.57,"1,680.35",162.77,9.70%,12.425,6:00,7:00,2020
I-205,NB,Clark County,13.22,56.39,"2,157.58",252.84,11.70%,12.425,7:00,8:00,2020
I-205,NB,Clark County,13.37,55.76,"2,358.25",286.99,12.20%,12.425,8:00,9:00,2020
I-205,NB,Clark County,13.26,56.22,"2,270.41",249.84,11.00%,12.425,9:00,10:00,2020
I-205,NB,Clark County,13.16,56.65,"2,126.76",180.68,8.50%,12.425,10:00,11:00,2020
I-205,NB,Clark County,13.27,56.18,"2,343.37",180.98,7.70%,12.425,11:00,12:00,2020
I-205,NB,Clark County,13.34,55.88,"2,452.85",158.75,6.50%,12.425,12:00,13:00,2020
I-205,NB,Clark County,13.32,55.97,"2,390.72",198.36,8.30%,12.425,13:00,14:00,2020
I-205,NB,Clark County,13.42,55.55,"2,571.81",152.08,5.90%,12.425,14:00,15:00,2020
I-205,NB,Clark County,13.97,53.36,"3,114.61",151.25,4.90%,12.425,15:00,16:00,2020
I-205,NB,Clark County,14.42,51.7,"3,405.13",89.75,2.60%,12.425,16:00,17:00,2020
I-205,NB,Clark County,14.69,50.75,"3,546.05",64.02,1.80%,12.425,17:00,18:00,2020
I-205,NB,Clark County,13.38,55.72,"2,547.84",46.24,1.80%,12.425,18:00,19:00,2020
I-205,NB,Clark County,13,57.35,"1,833.50",38.34,2.10%,12.425,19:00,20:00,2020
I-205,NB,Clark County,12.88,57.88,"1,582.20",33.61,2.10%,12.425,20:00,21:00,2020
I-205,NB,Clark County,12.75,58.47,"1,277.48",23.22,1.80%,12.425,21:00,22:00,2020
I-205,NB,Clark County,12.64,58.98,916.26,24.96,2.70%,12.425,22:00,23:00,2020
I-205,NB,Clark County,12.57,59.31,716.32,28.46,4.00%,12.425,23:00,0:00,2020
I-5,SB,"Portland, OR",28.7,55.65,667.67,152.16,22.80%,26.617,0:00,1:00,2020
I-5,SB,"Portland, OR",28.98,55.11,582.16,172.55,29.60%,26.617,1:00,2:00,2020
I-5,SB,"Portland, OR",29.03,55.01,620.77,207.25,33.40%,26.617,2:00,3:00,2020
I-5,SB,"Portland, OR",29.02,55.03,626.04,283.46,45.30%,26.617,3:00,4:00,2020
I-5,SB,"Portland, OR",29.67,53.83,"1,287.89",383.94,29.80%,26.617,4:00,5:00,2020
I-5,SB,"Portland, OR",33.15,48.18,"2,469.25",397.06,16.10%,26.617,5:00,6:00,2020
I-5,SB,"Portland, OR",39.9,40.03,"2,745.02",525.99,19.20%,26.617,6:00,7:00,2020
I-5,SB,"Portland, OR",44.87,35.59,"2,678.71",685.51,25.60%,26.617,7:00,8:00,2020
I-5,SB,"Portland, OR",44.17,36.16,"2,759.63",862,31.20%,26.617,8:00,9:00,2020
I-5,SB,"Portland, OR",39.99,39.94,"2,884.42",855.03,29.60%,26.617,9:00,10:00,2020
I-5,SB,"Portland, OR",35.72,44.71,"2,922.31",694.52,23.80%,26.617,10:00,11:00,2020
I-5,SB,"Portland, OR",35.57,44.9,"2,945.04",643.65,21.90%,26.617,11:00,12:00,2020
I-5,SB,"Portland, OR",36.96,43.21,"2,898.54",701.77,24.20%,26.617,12:00,13:00,2020
I-5,SB,"Portland, OR",37.05,43.1,"2,960.80",694.25,23.40%,26.617,13:00,14:00,2020
I-5,SB,"Portland, OR",37.85,42.19,"3,032.14",610.02,20.10%,26.617,14:00,15:00,2020
I-5,SB,"Portland, OR",39.95,39.98,"3,068.30",483.98,15.80%,26.617,15:00,16:00,2020
I-5,SB,"Portland, OR",40.36,39.57,"3,078.79",382.34,12.40%,26.617,16:00,17:00,2020
I-5,SB,"Portland, OR",40.68,39.26,"3,112.43",268.17,8.60%,26.617,17:00,18:00,2020
I-5,SB,"Portland, OR",36.17,44.15,"3,207.49",206.77,6.40%,26.617,18:00,19:00,2020
I-5,SB,"Portland, OR",32.72,48.81,"2,956.28",153.88,5.20%,26.617,19:00,20:00,2020
I-5,SB,"Portland, OR",32.36,49.35,"2,848.94",156.33,5.50%,26.617,20:00,21:00,2020
I-5,SB,"Portland, OR",30.69,52.04,"2,310.36",161.4,7.00%,26.617,21:00,22:00,2020
I-5,SB,"Portland, OR",29.86,53.48,"1,729.66",143.85,8.30%,26.617,22:00,23:00,2020
I-5,SB,"Portland, OR",29.35,54.41,"1,258.22",144.53,11.50%,26.617,23:00,0:00,2020
I-5,NB,"Portland, OR",28.6,55.84,682.6,160.74,23.50%,26.616,0:00,1:00,2020
I-5,NB,"Portland, OR",28.81,55.43,617.23,178.27,28.90%,26.616,1:00,2:00,2020
I-5,NB,"Portland, OR",28.81,55.43,630.49,193.18,30.60%,26.616,2:00,3:00,2020
I-5,NB,"Portland, OR",28.83,55.39,621.82,274.53,44.20%,26.616,3:00,4:00,2020
I-5,NB,"Portland, OR",29.38,54.36,"1,305.12",367.31,28.10%,26.616,4:00,5:00,2020
I-5,NB,"Portland, OR",31.45,50.78,"2,693.25",423.04,15.70%,26.616,5:00,6:00,2020
I-5,NB,"Portland, OR",37.89,42.15,"3,976.60",532.45,13.40%,26.616,6:00,7:00,2020
I-5,NB,"Portland, OR",44.6,35.81,"4,441.85",747.24,16.80%,26.616,7:00,8:00,2020
I-5,NB,"Portland, OR",45.75,34.91,"4,497.41",868.82,19.30%,26.616,8:00,9:00,2020
I-5,NB,"Portland, OR",43.39,36.8,"4,365.90",903.06,20.70%,26.616,9:00,10:00,2020
I-5,NB,"Portland, OR",37.15,42.99,"3,956.73",724.14,18.30%,26.616,10:00,11:00,2020
I-5,NB,"Portland, OR",36.86,43.33,"3,966.69",649.83,16.40%,26.616,11:00,12:00,2020
I-5,NB,"Portland, OR",37.6,42.47,"3,903.72",712.9,18.30%,26.616,12:00,13:00,2020
I-5,NB,"Portland, OR",38.22,41.78,"4,041.00",702.2,17.40%,26.616,13:00,14:00,2020
I-5,NB,"Portland, OR",39.49,40.44,"4,270.25",617.45,14.50%,26.616,14:00,15:00,2020
I-5,NB,"Portland, OR",43.07,37.08,"4,418.29",460.21,10.40%,26.616,15:00,16:00,2020
I-5,NB,"Portland, OR",44.68,35.74,"4,557.40",372.23,8.20%,26.616,16:00,17:00,2020
I-5,NB,"Portland, OR",44.88,35.58,"4,645.53",263.7,5.70%,26.616,17:00,18:00,2020
I-5,NB,"Portland, OR",37.94,42.09,"4,456.12",211.58,4.70%,26.616,18:00,19:00,2020
I-5,NB,"Portland, OR",32.04,49.84,"3,341.98",146.66,4.40%,26.616,19:00,20:00,2020
I-5,NB,"Portland, OR",30.84,51.78,"2,786.23",156.77,5.60%,26.616,20:00,21:00,2020
I-5,NB,"Portland, OR",29.99,53.25,"2,140.21",150.27,7.00%,26.616,21:00,22:00,2020
I-5,NB,"Portland, OR",29.39,54.34,"1,619.22",138.87,8.60%,26.616,22:00,23:00,2020
I-5,NB,"Portland, OR",29.21,54.67,"1,232.32",126.8,10.30%,26.616,23:00,0:00,2020
I-205,SB,"Portland, OR",26.02,57.22,481.14,56.48,11.70%,24.814,0:00,1:00,2020
I-205,SB,"Portland, OR",26.17,56.89,416.44,61.06,14.70%,24.814,1:00,2:00,2020
I-205,SB,"Portland, OR",26.13,56.98,372.21,52.36,14.10%,24.814,2:00,3:00,2020
I-205,SB,"Portland, OR",26.19,56.85,459.61,86.24,18.80%,24.814,3:00,4:00,2020
I-205,SB,"Portland, OR",26.55,56.08,"1,083.48",136.93,12.60%,24.814,4:00,5:00,2020
I-205,SB,"Portland, OR",28.86,51.59,"2,755.76",205.67,7.50%,24.814,5:00,6:00,2020
I-205,SB,"Portland, OR",35.1,42.42,"3,949.21",278.18,7.00%,24.814,6:00,7:00,2020
I-205,SB,"Portland, OR",38.69,38.48,"4,250.93",420.84,9.90%,24.814,7:00,8:00,2020
I-205,SB,"Portland, OR",36.45,40.85,"4,076.17",494.71,12.10%,24.814,8:00,9:00,2020
I-205,SB,"Portland, OR",32.75,45.46,"3,628.09",513.79,14.20%,24.814,9:00,10:00,2020
I-205,SB,"Portland, OR",30.18,49.33,"3,233.39",389.36,12.00%,24.814,10:00,11:00,2020
I-205,SB,"Portland, OR",30.02,49.59,"3,226.70",372.32,11.50%,24.814,11:00,12:00,2020
I-205,SB,"Portland, OR",30.99,48.04,"3,445.36",429,12.50%,24.814,12:00,13:00,2020
I-205,SB,"Portland, OR",31.01,48.01,"3,444.01",404.52,11.70%,24.814,13:00,14:00,2020
I-205,SB,"Portland, OR",31.17,47.77,"3,517.39",329.05,9.40%,24.814,14:00,15:00,2020
I-205,SB,"Portland, OR",32.57,45.71,"3,827.43",272.63,7.10%,24.814,15:00,16:00,2020
I-205,SB,"Portland, OR",33.32,44.68,"3,971.57",204.67,5.20%,24.814,16:00,17:00,2020
I-205,SB,"Portland, OR",33.64,44.26,"4,022.70",162.21,4.00%,24.814,17:00,18:00,2020
I-205,SB,"Portland, OR",30.33,49.09,"3,454.39",106.68,3.10%,24.814,18:00,19:00,2020
I-205,SB,"Portland, OR",28.13,52.93,"2,656.55",70.82,2.70%,24.814,19:00,20:00,2020
I-205,SB,"Portland, OR",27.56,54.02,"2,261.40",86.88,3.80%,24.814,20:00,21:00,2020
I-205,SB,"Portland, OR",27.01,55.12,"1,715.73",76.77,4.50%,24.814,21:00,22:00,2020
I-205,SB,"Portland, OR",26.6,55.97,"1,216.95",48.65,4.00%,24.814,22:00,23:00,2020
I-205,SB,"Portland, OR",26.37,56.46,886.35,50.72,5.70%,24.814,23:00,0:00,2020
I-205,NB,"Portland, OR",25.85,57.15,470.89,55.69,11.80%,24.622,0:00,1:00,2020
I-205,NB,"Portland, OR",25.95,56.93,412.51,62.3,15.10%,24.622,1:00,2:00,2020
I-205,NB,"Portland, OR",25.92,57,371.31,58.1,15.60%,24.622,2:00,3:00,2020
I-205,NB,"Portland, OR",25.93,56.97,421.18,80.16,19.00%,24.622,3:00,4:00,2020
I-205,NB,"Portland, OR",26.26,56.26,980.05,135.83,13.90%,24.622,4:00,5:00,2020
I-205,NB,"Portland, OR",27.49,53.74,"2,301.76",175.31,7.60%,24.622,5:00,6:00,2020
I-205,NB,"Portland, OR",31.55,46.82,"3,570.31",303.9,8.50%,24.622,6:00,7:00,2020
I-205,NB,"Portland, OR",35.45,41.67,"3,935.92",465.66,11.80%,24.622,7:00,8:00,2020
I-205,NB,"Portland, OR",34.52,42.8,"3,840.05",526.73,13.70%,24.622,8:00,9:00,2020
I-205,NB,"Portland, OR",32.71,45.16,"3,625.72",542.05,15.00%,24.622,9:00,10:00,2020
I-205,NB,"Portland, OR",30.52,48.4,"3,289.56",480.68,14.60%,24.622,10:00,11:00,2020
I-205,NB,"Portland, OR",30.2,48.92,"3,301.39",392.5,11.90%,24.622,11:00,12:00,2020
I-205,NB,"Portland, OR",30.89,47.83,"3,425.69",432.66,12.60%,24.622,12:00,13:00,2020
I-205,NB,"Portland, OR",31.18,47.38,"3,460.51",442.88,12.80%,24.622,13:00,14:00,2020
I-205,NB,"Portland, OR",31.87,46.35,"3,612.03",375.88,10.40%,24.622,14:00,15:00,2020
I-205,NB,"Portland, OR",33.96,43.5,"3,941.96",294.51,7.50%,24.622,15:00,16:00,2020
I-205,NB,"Portland, OR",35.67,41.42,"4,151.79",197.68,4.80%,24.622,16:00,17:00,2020
I-205,NB,"Portland, OR",36.39,40.6,"4,217.44",154.95,3.70%,24.622,17:00,18:00,2020
I-205,NB,"Portland, OR",31.21,47.33,"3,590.90",102.75,2.90%,24.622,18:00,19:00,2020
I-205,NB,"Portland, OR",27.99,52.78,"2,581.60",95.37,3.70%,24.622,19:00,20:00,2020
I-205,NB,"Portland, OR",27.21,54.29,"2,044.37",76.38,3.70%,24.622,20:00,21:00,2020
I-205,NB,"Portland, OR",26.7,55.33,"1,548.78",81.33,5.30%,24.622,21:00,22:00,2020
I-205,NB,"Portland, OR",26.35,56.07,"1,124.68",62.55,5.60%,24.622,22:00,23:00,2020
